1890.0,52.04,2.1,2.3,0.61,2.71,3,32.78,73.08,33.69,7.08,2.05,2,418.42
1901.0,147.44,2.01,0.75,0.94,2.63,3.96,211.22,93.4,96.77,37,5.95,2,520.35
1968.0,104.84,0.38,0.13,0.68,2.81,0,94.41,104.84,104.84,17.9,0,1,281.33
2002.0,95.31,0.55,0.26,0.34,2.8,3.03,89.5,42.9,52.41,13.92,2.6,2,188.17
2002.0,283.87,0.55,0.26,0.41,3.1,3.01,254.15,173.21,173.21,42.86,5.49,2,134.95
2007.0,94.4,0.34,0,0.24,1.82,3,41.31,0,94.4,14.15,2.1,1,108.77
2003.0,76.15,0.55,0,0,2.7,3,56.25,0,0,11.65,1.85,1,156.65
2000.0,91.41,0.55,0.15,0.44,3.4,3.11,102.29,49.66,49.72,7.2,6.08,2,369.22
1989.0,125.61,0.31,0.13,0.57,4.8,3,93.97,125.61,125.61,19.6,3.7,1,287.42
2002.0,124.66,0.55,0.4,0.44,2.96,3,100.99,62.2,64.38,16.71,4.27,2,219.05
1900.0,80,1.94,0.4,0.69,2.8,3,89.94,80,80,13.34,3.74,1,747.86
1980.0,160.7,1.09,0.49,0.64,4.8,3,167.32,84.87,84.87,30.6,3.68,2,329.39
2001.0,69.68,0.29,0.13,0.44,2.8,3,72.35,34.84,34.84,16.33,1.85,2,242.38
1990.0,159.39,0.58,0.45,0.42,3.27,3,68.61,57.72,76.64,11.61,3.7,3,171.26
2003.0,99.29,,0.13,0.44,2.8,3,93.06,52.12,52.12,15.51,3.45,2,191.7
1950.0,208.69,,0.72,0.51,3.33,3,157.85,181.68,181.68,38.84,4.56,2,394.69
2005.0,40.37,,0.25,0,2.7,3,25.36,40.37,0,5.33,1.85,1,175.42
1987.0,74.58,0.57,0,0.48,2.7,1.31,74.71,0,74.58,7.39,1.8,1,404.62
1965.0,109,1.76,0.33,0.73,4.8,0,114.4,109,109,21.49,0,1,607.69
2000.0,88.71,0.3,0.13,0.36,3.1,3,49.93,45.02,43.69,10.03,2.21,2,167.52
1999.0,82.98,0.3,0.13,0.41,2.21,2.85,80.85,41.49,41.49,12.85,1.85,2,145.17
1980.0,163.2,,0.61,0.64,4.8,4.69,175.19,98.5,96.5,22.91,8.65,2,343.61
1974.0,67.22,0.55,0.13,0.84,2.8,0,73.7,37.27,37.28,12.36,0,2,244.83
1954.0,111.4,1.25,0.37,0.7,4.63,3,126.57,77.99,58.63,15.51,1.85,2,283.37
2004.0,113.1,0.55,0.27,0.41,2.71,3,106.2,60,60,12.44,3.7,2,214.47
1986.0,83.34,0.35,0.13,0.48,2.7,1.96,35.43,41.67,41.67,13.04,3.79,2,190.27
