94,2,0.13,0.89,2.8,0.2404720472,1
18,0.27,0.13,0.44,3.1,0.6,1
11,0.37,0.3394229423,0.26,2.1,0.2404720472,1
12,0.55,0.4,0.41,2.33,0.3,1
16,0.55,0.36,0.41,2.7,0.2404720472,3
34.58159820084379,2.1,0.7,1.02,3.1,0.6,1
28,0.28,0.49,0.64,2.75,0.6,1
74,2.2,0.4,0.84,2.7,0.6,1
21,0.53,0.3394229423,0.6,2.8,0.2404720472,1
9,0.5747924792,0.13,0.4,2.6,0.2404720472,1
15,0.55,0.3394229423,0.416989699,2.7,0.2404720472,1
34.58159820084379,0.5747924792,0.49,0.5,2.7,0.6,1
22,0.55,0.4,0.41,3.1,0.3,5
34.58159820084379,2.1,0.65,0.416989699,3.1,0.2404720472,4
7,0.26,0.14,0.28,1.8,0.2404720472,1
12,0.29,0.13,0.41,2.2,0.6,1
64,1.6,0.27,0.57,3.1,0.6,1
31,0.6,2.3,0.57,2,0.2404720472,1
32,2.4,0.4,0.65,2.9,0.6,1
8,0.22,0.28,0.22,1.6,0.2404720472,1
96,1.59,1.58,0.64,3.48,0.6,1
12,0.51,0.33,0.41,2.71,0.2404720472,1
12,0.55,0.36,0.416989699,2.2,0.6,1
11,0.37,0.24,0.34,2.2,0.2404720472,1
17,0.3,0.13,0.47,2.8,0.2404720472,1
38,0.27,0.13,0.49,5.7,0.2404720472,1
42,2.4,0.85,0.73,2.06,0.2404720472,1
47,0.38,1.06,0.65,3.75,0.6,1
18,0.55,0.4,0.44,2.8,0.2404720472,5
8,0.84,0.22,0.32,1.8,0.3,4
11,0.25,0.14,0.34,2.3,0.6,1
76,0.24,1.11,0.47,2.41,0.6,1
66,0.5747924792,0.13,0.5,2.25,0.6,1
21,0.32,0.17,0.37,2.8,0.2404720472,1
37,1.1,0.41,0.51,3.38,0.2404720472,1
31,0.6,0.28,0.64,2.74,0.6,1
22,0.3,0.13,0.41,1.5,0.2404720472,1
36,1.1,0.49,0.48,3.06,0.6,1
45,0.31,0.26,0.84,2.7,0.2404720472,1
21,0.35,0.13,0.36,3.15,0.2404720472,1
14,0.52,0.3394229423,0.416989699,3.3,0.2404720472,1
36,0.5747924792,0.26,0.57,3.1,0.2404720472,1
18,0.55,0.26,0.41,2.8,0.6,1
43,2.07,0.16,0.64,2,0.2404720472,1
86,1.64,0.26,0.65,2.7,0.2404720472,1
23,0.6,0.3394229423,0.38,2.95,0.2404720472,1
13,0.5747924792,0.36,0.41,2.8,0.6,1
31,0.59,0.39,0.48,2.72,0.2404720472,1
15,0.55,0.2,0.41,2.85,0.6,1
96,1.77,1.64,0.89,3.1,0.6,1
15,0.49,0.17,0.54,2.82,0.6,1
34,0.91,0.14,0.48,2.66,0.6,1
38,1.87,0.42,0.5600000000000001,2.11,0.2404720472,1
12,0.55,0.3394229423,0.416989699,2.8,0.3,4
21,0.55,0.4,0.416989699,3.47,0.3,4
43,2.4,0.4,0.73,2.93,0.6,1
47,1.44,1.31,0.73,2.81,0.6,1
14,0.5747924792,0.14,0.41,2.7,0.6,1
41,1.43,0.48,0.55,2.8,0.6,1
86,2.1,2.3,0.89,3.1,0.2404720472,1
66,1.07,0.86,0.47,2.8,0.6,1
10,0.37,0.2,0.34,2.2,0.2404720472,1
22,0.55,0.4,0.41,4.55,0.6,1
35,1.1,0.4,0.64,3.1,0.6,1
10,0.35,0.25,0.416989699,2,0.2404720472,4
9,0.37,0.16,0.37,1.7,0.2404720472,1
8,0.27,0.16,0.25,2.1,0.2404720472,2
3,0.34,0.25,0.37,2.2,0.2404720472,1
32,0.33,0.13,0.57,2.7,0.2404720472,1
87,1.64,0.4,0.66,3.1,0.6,1
7,0.37,0.3394229423,0.28,2.6,0.2404720472,1
12,0.55,0.2,0.44,2.04,0.6,1
61,0.23,0.71,0.84,3.1,0.2404720472,1
33,0.6,0.2,0.57,2.37,0.6,1
8,0.37,0.13,0.34,1.7,0.6,1
34.58159820084379,2.1,0.86,0.92,2.26,0.6,1
12,0.53,0.3394229423,0.41,3.05,0.2404720472,1
